Execucao,Tamanho,Threads,Tempo (ms)
Serial,1000,1,6
Serial,1000,1,0
Serial,1000,1,0
Serial,1000,1,7
Serial,1000,1,0
Paralelo,1000,2,9
Paralelo,1000,2,3
Paralelo,1000,2,5
Paralelo,1000,2,5
Paralelo,1000,2,0
Paralelo,1000,4,0
Paralelo,1000,4,0
Paralelo,1000,4,5
Paralelo,1000,4,1
Paralelo,1000,4,0
Paralelo,1000,8,2
Paralelo,1000,8,0
Paralelo,1000,8,0
Paralelo,1000,8,0
Paralelo,1000,8,0
Serial,5000,1,28
Serial,5000,1,21
Serial,5000,1,39
Serial,5000,1,41
Serial,5000,1,29
Paralelo,5000,2,4
Paralelo,5000,2,4
Paralelo,5000,2,5
Paralelo,5000,2,3
Paralelo,5000,2,2
Paralelo,5000,4,4
Paralelo,5000,4,4
Paralelo,5000,4,4
Paralelo,5000,4,3
Paralelo,5000,4,3
Paralelo,5000,8,1
Paralelo,5000,8,5
Paralelo,5000,8,4
Paralelo,5000,8,2
Paralelo,5000,8,3
Serial,10000,1,122
Serial,10000,1,115
Serial,10000,1,103
Serial,10000,1,121
Serial,10000,1,107
Paralelo,10000,2,8
Paralelo,10000,2,11
Paralelo,10000,2,9
Paralelo,10000,2,9
Paralelo,10000,2,11
Paralelo,10000,4,9
Paralelo,10000,4,8
Paralelo,10000,4,8
Paralelo,10000,4,9
Paralelo,10000,4,9
Paralelo,10000,8,11
Paralelo,10000,8,9
Paralelo,10000,8,8
Paralelo,10000,8,9
Paralelo,10000,8,8
Serial,20000,1,638
Serial,20000,1,683
Serial,20000,1,582
Serial,20000,1,585
Serial,20000,1,635
Paralelo,20000,2,39
Paralelo,20000,2,41
Paralelo,20000,2,32
Paralelo,20000,2,37
Paralelo,20000,2,30
Paralelo,20000,4,31
Paralelo,20000,4,33
Paralelo,20000,4,41
Paralelo,20000,4,45
Paralelo,20000,4,31
Paralelo,20000,8,31
Paralelo,20000,8,41
Paralelo,20000,8,41
Paralelo,20000,8,37
Paralelo,20000,8,36
Serial,50000,1,5107
Serial,50000,1,5101
Serial,50000,1,5327
Serial,50000,1,9030
Serial,50000,1,5588
Paralelo,50000,2,299
Paralelo,50000,2,276
Paralelo,50000,2,333
Paralelo,50000,2,307
Paralelo,50000,2,281
Paralelo,50000,4,251
Paralelo,50000,4,274
Paralelo,50000,4,273
Paralelo,50000,4,325
Paralelo,50000,4,270
Paralelo,50000,8,255
Paralelo,50000,8,260
Paralelo,50000,8,272
Paralelo,50000,8,308
Paralelo,50000,8,259
