Execucao,Tamanho,Threads,Tempo (ms)
Serial,1000,1,2
Paralelo,1000,1,4
Serial,1000,1,0
Paralelo,1000,1,1
Serial,1000,1,1
Paralelo,1000,1,1
Serial,1000,1,1
Paralelo,1000,1,5
Serial,1000,1,0
Paralelo,1000,1,1
Serial,1000,1,0
Paralelo,1000,2,1
Serial,1000,1,0
Paralelo,1000,2,1
Serial,1000,1,0
Paralelo,1000,2,1
Serial,1000,1,0
Paralelo,1000,2,0
Serial,1000,1,0
Paralelo,1000,2,0
Serial,1000,1,0
Paralelo,1000,4,0
Serial,1000,1,0
Paralelo,1000,4,2
Serial,1000,1,0
Paralelo,1000,4,0
Serial,1000,1,0
Paralelo,1000,4,0
Serial,1000,1,0
Paralelo,1000,4,0
Serial,1000,1,0
Paralelo,1000,8,1
Serial,1000,1,0
Paralelo,1000,8,0
Serial,1000,1,0
Paralelo,1000,8,1
Serial,1000,1,0
Paralelo,1000,8,0
Serial,1000,1,1
Paralelo,1000,8,0
Serial,5000,1,2
Paralelo,5000,1,1
Serial,5000,1,3
Paralelo,5000,1,1
Serial,5000,1,3
Paralelo,5000,1,1
Serial,5000,1,2
Paralelo,5000,1,1
Serial,5000,1,2
Paralelo,5000,1,1
Serial,5000,1,1
Paralelo,5000,2,1
Serial,5000,1,2
Paralelo,5000,2,1
Serial,5000,1,2
Paralelo,5000,2,1
Serial,5000,1,2
Paralelo,5000,2,1
Serial,5000,1,2
Paralelo,5000,2,1
Serial,5000,1,2
Paralelo,5000,4,2
Serial,5000,1,1
Paralelo,5000,4,1
Serial,5000,1,2
Paralelo,5000,4,1
Serial,5000,1,2
Paralelo,5000,4,2
Serial,5000,1,2
Paralelo,5000,4,1
Serial,5000,1,2
Paralelo,5000,8,1
Serial,5000,1,2
Paralelo,5000,8,2
Serial,5000,1,1
Paralelo,5000,8,1
Serial,5000,1,1
Paralelo,5000,8,1
Serial,5000,1,2
Paralelo,5000,8,1
Serial,10000,1,7
Paralelo,10000,1,2
Serial,10000,1,7
Paralelo,10000,1,2
Serial,10000,1,7
Paralelo,10000,1,1
Serial,10000,1,7
Paralelo,10000,1,2
Serial,10000,1,8
Paralelo,10000,1,2
Serial,10000,1,8
Paralelo,10000,2,2
Serial,10000,1,7
Paralelo,10000,2,1
Serial,10000,1,7
Paralelo,10000,2,1
Serial,10000,1,7
Paralelo,10000,2,1
Serial,10000,1,7
Paralelo,10000,2,2
Serial,10000,1,8
Paralelo,10000,4,1
Serial,10000,1,7
Paralelo,10000,4,1
Serial,10000,1,7
Paralelo,10000,4,1
Serial,10000,1,8
Paralelo,10000,4,1
Serial,10000,1,9
Paralelo,10000,4,2
Serial,10000,1,8
Paralelo,10000,8,1
Serial,10000,1,9
Paralelo,10000,8,2
Serial,10000,1,8
Paralelo,10000,8,2
Serial,10000,1,8
Paralelo,10000,8,1
Serial,10000,1,8
Paralelo,10000,8,2
Serial,20000,1,30
Paralelo,20000,1,4
Serial,20000,1,28
Paralelo,20000,1,3
Serial,20000,1,27
Paralelo,20000,1,4
Serial,20000,1,29
Paralelo,20000,1,3
Serial,20000,1,28
Paralelo,20000,1,4
Serial,20000,1,30
Paralelo,20000,2,3
Serial,20000,1,31
Paralelo,20000,2,2
Serial,20000,1,29
Paralelo,20000,2,2
Serial,20000,1,28
Paralelo,20000,2,2
Serial,20000,1,27
Paralelo,20000,2,3
Serial,20000,1,33
Paralelo,20000,4,2
Serial,20000,1,28
Paralelo,20000,4,2
Serial,20000,1,27
Paralelo,20000,4,3
Serial,20000,1,29
Paralelo,20000,4,2
Serial,20000,1,31
Paralelo,20000,4,3
Serial,20000,1,29
Paralelo,20000,8,1
Serial,20000,1,29
Paralelo,20000,8,2
Serial,20000,1,29
Paralelo,20000,8,2
Serial,20000,1,31
Paralelo,20000,8,2
Serial,20000,1,29
Paralelo,20000,8,2
Serial,50000,1,179
Paralelo,50000,1,10
Serial,50000,1,195
Paralelo,50000,1,9
Serial,50000,1,188
Paralelo,50000,1,12
Serial,50000,1,180
Paralelo,50000,1,9
Serial,50000,1,182
Paralelo,50000,1,10
Serial,50000,1,185
Paralelo,50000,2,7
Serial,50000,1,185
Paralelo,50000,2,6
Serial,50000,1,181
Paralelo,50000,2,6
Serial,50000,1,196
Paralelo,50000,2,5
Serial,50000,1,186
Paralelo,50000,2,6
Serial,50000,1,177
Paralelo,50000,4,5
Serial,50000,1,169
Paralelo,50000,4,3
Serial,50000,1,188
Paralelo,50000,4,4
Serial,50000,1,178
Paralelo,50000,4,4
Serial,50000,1,192
Paralelo,50000,4,4
Serial,50000,1,189
Paralelo,50000,8,4
Serial,50000,1,181
Paralelo,50000,8,3
Serial,50000,1,198
Paralelo,50000,8,3
Serial,50000,1,181
Paralelo,50000,8,3
Serial,50000,1,185
Paralelo,50000,8,3
