Execucao,Tamanho,Threads,Tempo (ms)
Serial,1000,1,1
Serial,1000,1,0
Serial,1000,1,1
Serial,1000,1,0
Serial,1000,1,0
Parallel,1000,1,3
Parallel,1000,1,1
Parallel,1000,1,1
Parallel,1000,1,0
Parallel,1000,1,1
Parallel,1000,2,1
Parallel,1000,2,2
Parallel,1000,2,1
Parallel,1000,2,2
Parallel,1000,2,2
Parallel,1000,4,2
Parallel,1000,4,2
Parallel,1000,4,2
Parallel,1000,4,1
Parallel,1000,4,2
Parallel,1000,8,1
Parallel,1000,8,4
Parallel,1000,8,2
Parallel,1000,8,1
Parallel,1000,8,1
Serial,5000,1,3
Serial,5000,1,3
Serial,5000,1,3
Serial,5000,1,3
Serial,5000,1,1
Parallel,5000,1,4
Parallel,5000,1,2
Parallel,5000,1,2
Parallel,5000,1,2
Parallel,5000,1,3
Parallel,5000,2,4
Parallel,5000,2,2
Parallel,5000,2,3
Parallel,5000,2,8
Parallel,5000,2,3
Parallel,5000,4,2
Parallel,5000,4,1
Parallel,5000,4,3
Parallel,5000,4,1
Parallel,5000,4,1
Parallel,5000,8,3
Parallel,5000,8,4
Parallel,5000,8,7
Parallel,5000,8,2
Parallel,5000,8,2
Serial,10000,1,1
Serial,10000,1,2
Serial,10000,1,1
Serial,10000,1,2
Serial,10000,1,2
Parallel,10000,1,5
Parallel,10000,1,4
Parallel,10000,1,2
Parallel,10000,1,2
Parallel,10000,1,2
Parallel,10000,2,2
Parallel,10000,2,2
Parallel,10000,2,1
Parallel,10000,2,1
Parallel,10000,2,1
Parallel,10000,4,1
Parallel,10000,4,1
Parallel,10000,4,1
Parallel,10000,4,1
Parallel,10000,4,1
Parallel,10000,8,1
Parallel,10000,8,1
Parallel,10000,8,1
Parallel,10000,8,1
Parallel,10000,8,2
Serial,50000,1,6
Serial,50000,1,6
Serial,50000,1,7
Serial,50000,1,6
Serial,50000,1,6
Parallel,50000,1,8
Parallel,50000,1,9
Parallel,50000,1,8
Parallel,50000,1,10
Parallel,50000,1,8
Parallel,50000,2,5
Parallel,50000,2,5
Parallel,50000,2,4
Parallel,50000,2,5
Parallel,50000,2,5
Parallel,50000,4,2
Parallel,50000,4,4
Parallel,50000,4,2
Parallel,50000,4,3
Parallel,50000,4,3
Parallel,50000,8,3
Parallel,50000,8,2
Parallel,50000,8,2
Parallel,50000,8,2
Parallel,50000,8,2
Serial,100000,1,12
Serial,100000,1,13
Serial,100000,1,12
Serial,100000,1,13
Serial,100000,1,13
Parallel,100000,1,16
Parallel,100000,1,13
Parallel,100000,1,13
Parallel,100000,1,13
Parallel,100000,1,13
Parallel,100000,2,7
Parallel,100000,2,7
Parallel,100000,2,7
Parallel,100000,2,7
Parallel,100000,2,7
Parallel,100000,4,7
Parallel,100000,4,5
Parallel,100000,4,4
Parallel,100000,4,5
Parallel,100000,4,4
Parallel,100000,8,2
Parallel,100000,8,4
Parallel,100000,8,3
Parallel,100000,8,4
Parallel,100000,8,4
