Data Size,Threads,Sample,Time (ms),Mode
1000,1,1,5,Serial
1000,1,2,7,Serial
1000,1,3,1,Serial
1000,1,4,0,Serial
1000,1,5,1,Serial
1000,1,1,10,Parallel
1000,1,2,7,Parallel
1000,1,3,7,Parallel
1000,1,4,1,Parallel
1000,1,5,1,Parallel
1000,2,1,1,Parallel
1000,2,2,2,Parallel
1000,2,3,1,Parallel
1000,2,4,1,Parallel
1000,2,5,1,Parallel
1000,4,1,3,Parallel
1000,4,2,2,Parallel
1000,4,3,3,Parallel
1000,4,4,2,Parallel
1000,4,5,3,Parallel
1000,8,1,4,Parallel
1000,8,2,4,Parallel
1000,8,3,5,Parallel
1000,8,4,3,Parallel
1000,8,5,4,Parallel
5000,1,1,4,Serial
5000,1,2,3,Serial
5000,1,3,2,Serial
5000,1,4,3,Serial
5000,1,5,4,Serial
5000,1,1,10,Parallel
5000,1,2,8,Parallel
5000,1,3,9,Parallel
5000,1,4,7,Parallel
5000,1,5,11,Parallel
5000,2,1,4,Parallel
5000,2,2,4,Parallel
5000,2,3,3,Parallel
5000,2,4,4,Parallel
5000,2,5,4,Parallel
5000,4,1,2,Parallel
5000,4,2,3,Parallel
5000,4,3,3,Parallel
5000,4,4,4,Parallel
5000,4,5,2,Parallel
5000,8,1,6,Parallel
5000,8,2,4,Parallel
5000,8,3,5,Parallel
5000,8,4,4,Parallel
5000,8,5,4,Parallel
10000,1,1,13,Serial
10000,1,2,15,Serial
10000,1,3,14,Serial
10000,1,4,15,Serial
10000,1,5,14,Serial
10000,1,1,55,Parallel
10000,1,2,45,Parallel
10000,1,3,39,Parallel
10000,1,4,32,Parallel
10000,1,5,34,Parallel
10000,2,1,9,Parallel
10000,2,2,11,Parallel
10000,2,3,13,Parallel
10000,2,4,15,Parallel
10000,2,5,11,Parallel
10000,4,1,7,Parallel
10000,4,2,7,Parallel
10000,4,3,6,Parallel
10000,4,4,7,Parallel
10000,4,5,6,Parallel
10000,8,1,7,Parallel
10000,8,2,5,Parallel
10000,8,3,7,Parallel
10000,8,4,5,Parallel
10000,8,5,7,Parallel
50000,1,1,381,Serial
50000,1,2,323,Serial
50000,1,3,310,Serial
50000,1,4,295,Serial
50000,1,5,281,Serial
50000,1,1,781,Parallel
50000,1,2,724,Parallel
50000,1,3,740,Parallel
50000,1,4,728,Parallel
50000,1,5,748,Parallel
50000,2,1,243,Parallel
50000,2,2,233,Parallel
50000,2,3,232,Parallel
50000,2,4,225,Parallel
50000,2,5,242,Parallel
50000,4,1,79,Parallel
50000,4,2,78,Parallel
50000,4,3,87,Parallel
50000,4,4,80,Parallel
50000,4,5,80,Parallel
50000,8,1,30,Parallel
50000,8,2,30,Parallel
50000,8,3,31,Parallel
50000,8,4,32,Parallel
50000,8,5,28,Parallel
100000,1,1,1210,Serial
100000,1,2,1296,Serial
100000,1,3,1091,Serial
100000,1,4,1090,Serial
100000,1,5,1177,Serial
100000,1,1,2757,Parallel
100000,1,2,3098,Parallel
100000,1,3,3238,Parallel
100000,1,4,3042,Parallel
100000,1,5,3118,Parallel
100000,2,1,972,Parallel
100000,2,2,827,Parallel
100000,2,3,1167,Parallel
100000,2,4,966,Parallel
100000,2,5,870,Parallel
100000,4,1,276,Parallel
100000,4,2,244,Parallel
100000,4,3,261,Parallel
100000,4,4,247,Parallel
100000,4,5,254,Parallel
100000,8,1,90,Parallel
100000,8,2,89,Parallel
100000,8,3,86,Parallel
100000,8,4,85,Parallel
100000,8,5,88,Parallel
