Data Size,Sample,Time (ms),Mode
1000,1,1,Serial
1000,2,0,Serial
1000,3,0,Serial
1000,4,0,Serial
1000,5,0,Serial
1000,1,6,Paralelo
1000,2,2,Paralelo
1000,3,1,Paralelo
1000,4,4,Paralelo
1000,5,2,Paralelo
5000,1,2,Serial
5000,2,1,Serial
5000,3,0,Serial
5000,4,0,Serial
5000,5,1,Serial
5000,1,6,Paralelo
5000,2,5,Paralelo
5000,3,5,Paralelo
5000,4,4,Paralelo
5000,5,5,Paralelo
10000,1,1,Serial
10000,2,1,Serial
10000,3,0,Serial
10000,4,1,Serial
10000,5,1,Serial
10000,1,7,Paralelo
10000,2,6,Paralelo
10000,3,7,Paralelo
10000,4,7,Paralelo
10000,5,2,Paralelo
50000,1,4,Serial
50000,2,5,Serial
50000,3,3,Serial
50000,4,4,Serial
50000,5,5,Serial
50000,1,8,Paralelo
50000,2,5,Paralelo
50000,3,3,Paralelo
50000,4,2,Paralelo
50000,5,3,Paralelo
100000,1,7,Serial
100000,2,8,Serial
100000,3,8,Serial
100000,4,8,Serial
100000,5,8,Serial
100000,1,5,Paralelo
100000,2,4,Paralelo
100000,3,4,Paralelo
100000,4,4,Paralelo
100000,5,5,Paralelo
