Data Size,Threads,Sample,Time (ms),Mode
1000,1,1,0,Serial
1000,1,2,0,Serial
1000,1,3,1,Serial
1000,1,4,0,Serial
1000,1,5,0,Serial
1000,1,1,0,Parallel
1000,1,2,0,Parallel
1000,1,3,0,Parallel
1000,1,4,0,Parallel
1000,1,5,0,Parallel
1000,2,1,2,Parallel
1000,2,2,0,Parallel
1000,2,3,1,Parallel
1000,2,4,0,Parallel
1000,2,5,0,Parallel
1000,4,1,0,Parallel
1000,4,2,1,Parallel
1000,4,3,0,Parallel
1000,4,4,1,Parallel
1000,4,5,0,Parallel
1000,8,1,1,Parallel
1000,8,2,1,Parallel
1000,8,3,0,Parallel
1000,8,4,1,Parallel
1000,8,5,1,Parallel
5000,1,1,0,Serial
5000,1,2,1,Serial
5000,1,3,0,Serial
5000,1,4,0,Serial
5000,1,5,0,Serial
5000,1,1,1,Parallel
5000,1,2,0,Parallel
5000,1,3,0,Parallel
5000,1,4,0,Parallel
5000,1,5,1,Parallel
5000,2,1,1,Parallel
5000,2,2,0,Parallel
5000,2,3,0,Parallel
5000,2,4,0,Parallel
5000,2,5,1,Parallel
5000,4,1,1,Parallel
5000,4,2,0,Parallel
5000,4,3,1,Parallel
5000,4,4,0,Parallel
5000,4,5,1,Parallel
5000,8,1,1,Parallel
5000,8,2,2,Parallel
5000,8,3,1,Parallel
5000,8,4,0,Parallel
5000,8,5,1,Parallel
10000,1,1,2,Serial
10000,1,2,0,Serial
10000,1,3,1,Serial
10000,1,4,0,Serial
10000,1,5,1,Serial
10000,1,1,0,Parallel
10000,1,2,1,Parallel
10000,1,3,0,Parallel
10000,1,4,1,Parallel
10000,1,5,0,Parallel
10000,2,1,1,Parallel
10000,2,2,1,Parallel
10000,2,3,1,Parallel
10000,2,4,0,Parallel
10000,2,5,1,Parallel
10000,4,1,0,Parallel
10000,4,2,1,Parallel
10000,4,3,0,Parallel
10000,4,4,0,Parallel
10000,4,5,1,Parallel
10000,8,1,1,Parallel
10000,8,2,1,Parallel
10000,8,3,1,Parallel
10000,8,4,1,Parallel
10000,8,5,1,Parallel
50000,1,1,3,Serial
50000,1,2,3,Serial
50000,1,3,2,Serial
50000,1,4,3,Serial
50000,1,5,4,Serial
50000,1,1,3,Parallel
50000,1,2,3,Parallel
50000,1,3,3,Parallel
50000,1,4,3,Parallel
50000,1,5,3,Parallel
50000,2,1,3,Parallel
50000,2,2,3,Parallel
50000,2,3,3,Parallel
50000,2,4,3,Parallel
50000,2,5,3,Parallel
50000,4,1,2,Parallel
50000,4,2,4,Parallel
50000,4,3,3,Parallel
50000,4,4,3,Parallel
50000,4,5,3,Parallel
50000,8,1,3,Parallel
50000,8,2,3,Parallel
50000,8,3,3,Parallel
50000,8,4,3,Parallel
50000,8,5,2,Parallel
100000,1,1,6,Serial
100000,1,2,6,Serial
100000,1,3,6,Serial
100000,1,4,6,Serial
100000,1,5,7,Serial
100000,1,1,6,Parallel
100000,1,2,7,Parallel
100000,1,3,6,Parallel
100000,1,4,6,Parallel
100000,1,5,7,Parallel
100000,2,1,5,Parallel
100000,2,2,4,Parallel
100000,2,3,4,Parallel
100000,2,4,4,Parallel
100000,2,5,5,Parallel
100000,4,1,4,Parallel
100000,4,2,4,Parallel
100000,4,3,4,Parallel
100000,4,4,7,Parallel
100000,4,5,5,Parallel
100000,8,1,5,Parallel
100000,8,2,5,Parallel
100000,8,3,5,Parallel
100000,8,4,5,Parallel
100000,8,5,4,Parallel
